caveat_id,sort_rank,category,title,metro_scope,priced,usd_per_year,usd_per_it_mwh,direction,ruling_ref,source_ref,statement
C-BAND-25,12,limitation,"The +/-25 % market bands, and the one adjacency they touch",Chicago;Columbus;Dallas-Fort Worth,0,,,either,F2Fb-2 / F2Fb-4,era_ph2_report_v1.2.md section 4,"The three CHEAPEST metros are exactly the three banded ones, so the top of the ranking is its least certain part. Columbus's upper edge crosses Chicago's central, and that pair is the ONLY adjacency the bands touch anywhere in the table. THE SIZE OF THE CROSSING DEPENDS ON THE BASIS: 0.9742 $/MWh on the Phase 2 METERED basis, which is the 0.97 era_ph2_report_v1.2.md publishes, against 0.8042 $/MWh on the PUBLISHED FACILITY basis these extracts are on. A view built on G1 must quote the facility figure. Both parameters now come from one table and one statistic, so moving them independently is not a scenario that can happen."
C-F4D-8,13,limitation,"Atlanta and Phoenix are a LIBRARY GAP, not a tariff finding",Atlanta;Phoenix,0,,,understates mitigation,Ruling 19,era_ph4_report_v1.1.md section 4,"Georgia Power's and APS's tariff books have not been read for electives with the thoroughness ComEd's and Dominion's have. That is a statement about this project's reading, not about those tariffs. It cannot move the order."
C-F4M-13,14,limitation,PG&E Peak Day Pricing is absent from the library,San Jose / Bay Area,0,,,either,Ruling 11,era_ph4_report_v1.1.md section 4,Worth $32.48/kW-yr of summer demand credit against a $0.90/kWh event charge. It is the ONLY elective in the library that is a RISK TRADE and could go the wrong way for an uncurtailable load.
C-F4M-3,15,limitation,Dallas-Fort Worth's parameter deserves less confidence,Dallas-Fort Worth,1,,0.885680,either,Ruling 9,era_ph4_report_v1.1.md section 8 caveat 8,ERCOT North's implied load-weighting premium is +0.198 % against a PJM minimum of +5.72 %. Either the corroborating annual figure is itself load-weighted - in which case parity is already broken inside DFW's own source - or ERCOT North's 2025 duration curve really was that flat. Re-targeting to $35.34/MWh was priced and declined.
C-SJ-PF,16,limitation,"M-SJ-PF is a CORRECTION, not an election",San Jose / Bay Area,1,-6422042.34,-0.813647,corrects an overstatement,F4D-6,era_ph4_report_v1.1.md section 8 caveat 4,"San Jose reads 0.70 $/metered-MWh high because the engine does not evaluate a mechanic the database holds. It is in the mitigated stack on that footing, not as a tariff election the customer chooses."
C-OHIO-EXCISE,17,limitation,The recorded Ohio kWh excise figure was wrong by 1.95x,Columbus,1,-16187651.92,-2.050910,corrected,F4D-1,era_ph4_report_v1.1.md section 8 caveat 5,"The published stack carries the DERIVED value, not the recorded estimate. An estimate flagged as one is a debt, and it came due."
C-EXCISE-ALLOC,18,limitation,The Ohio statutory liability has no monthly form and G3 ALLOCATES it,Columbus,1,17239632.05,,allocation,Unit 5A,era_ph5_dictionary_v1.0.md,ORC 5727.81(C) is an ANNUAL self-assessment with an annual 500 GWh tier breakpoint and an annual per-location fee. G3 spreads it across the twelve months on the month's share of metered kWh. The annual total is exact; the monthly split is a DECLARED ALLOCATION and the only one in the four grains.
C-STATION-POINT,19,limitation,"The map point is a weather STATION, not a site",all,0,,,presentation,Unit 5A,era_ph5_dictionary_v1.0.md,G1's station_latitude and station_longitude are read from the metro's own EPW LOCATION line - the station this project's PUE overlay is driven by. No site has been chosen in any metro and the columns are named so that they cannot be read as one.
C-F4C-8,20,discharged,The PG&E instrument question is DISCHARGED on eligibility,San Jose / Bay Area,1,,,closed,Ruling 10,era_ph4_report_v1.1.md section 8 caveat 3,"Closed on eligibility rather than on value: the advertised storage tariff does not reach a load this size. That is a siting finding, not a gap."
C-F4B-3,21,discharged,DCT-T's inert ratchet is DISCHARGED on measurement,Columbus,1,0.00,0.000000,closed,Ruling 12,era_ph4_report_v1.1.md section 5,"$0.00 measured four times. DCT-T's 85 % capacity floor is 1,040,584 kW against a lowest monthly 30-minute peak of 1,140,126 kW - 99,542 kW of headroom - and the floor is anchored on a CONTRACT, so shaving the peak does not move it."
